Year,Region,Source_File,Kecamatan,Puskesmas,Latitude,Longitude,Week,Cases,NDVI,Cloud_Cover,Humidity,Precipitation_Total,Temperature_Min,Temperature_Max,Temperature_Avg,Pressure,Wind_Speed,Wind_Direction
2021,KAB BANTUL,Laporan-Analisa-SKDR_bambang-lipuro.xlsx,bambang lipuro,PKM. BAMBANG LIPURO,-7.9218427,110.3108869,1,13,0.0231,70.42857143,62,301.37,24.25,32.76,26.85214286,1006.857143,3.938571429,192.1428571
2021,KAB BANTUL,Laporan-Analisa-SKDR_bambang-lipuro.xlsx,bambang lipuro,PKM. BAMBANG LIPURO,-7.9218427,110.3108869,2,7,,91.57142857,65.71428571,194.49,23.64,31.01,26.41964286,1007.571429,4.587142857,247.8571429
2021,KAB BANTUL,Laporan-Analisa-SKDR_bambang-lipuro.xlsx,bambang lipuro,PKM. BAMBANG LIPURO,-7.9218427,110.3108869,3,7,0.0224,76.71428571,60.85714286,191.68,24.12,31.68,26.93214286,1008,3.44,197.7142857
2021,KAB BANTUL,Laporan-Analisa-SKDR_bambang-lipuro.xlsx,bambang lipuro,PKM. BAMBANG LIPURO,-7.9218427,110.3108869,4,5,,81.85714286,67.14285714,143.37,23.57,31.7,26.32785714,1008,4.734285714,249.2857143
2021,KAB BANTUL,Laporan-Analisa-SKDR_bambang-lipuro.xlsx,bambang lipuro,PKM. BAMBANG LIPURO,-7.9218427,110.3108869,5,2,0.0213,90.57142857,65.42857143,275.78,23.85,31.38,26.54964286,1008.571429,4.018571429,238.4285714
2021,KAB BANTUL,Laporan-Analisa-SKDR_bambang-lipuro.xlsx,bambang lipuro,PKM. BAMBANG LIPURO,-7.9218427,110.3108869,6,1,,68.28571429,71.42857143,131.91,23.94,31.24,26.10642857,1008.571429,4.778571429,238.5714286
2021,KAB BANTUL,Laporan-Analisa-SKDR_bambang-lipuro.xlsx,bambang lipuro,PKM. BAMBANG LIPURO,-7.9218427,110.3108869,7,4,0.0211,52.42857143,65.28571429,126.75,23.66,32.27,26.63285714,1009.428571,4.175714286,206.7142857
2021,KAB BANTUL,Laporan-Analisa-SKDR_bambang-lipuro.xlsx,bambang lipuro,PKM. BAMBANG LIPURO,-7.9218427,110.3108869,8,1,,83.14285714,70.14285714,44.91,23.04,31.82,25.99571429,1008,4.345714286,220.7142857
2021,KAB BANTUL,Laporan-Analisa-SKDR_bambang-lipuro.xlsx,bambang lipuro,PKM. BAMBANG LIPURO,-7.9218427,110.3108869,9,3,0.02,63.14285714,59,70.85,24.3,32.79,27.03392857,1010.142857,3.905714286,222.8571429
2021,KAB BANTUL,Laporan-Analisa-SKDR_bambang-lipuro.xlsx,bambang lipuro,PKM. BAMBANG LIPURO,-7.9218427,110.3108869,10,1,,44.57142857,68.71428571,71,22,31.03,26.2425,1009.714286,4.61,183
2021,KAB BANTUL,Laporan-Analisa-SKDR_bambang-lipuro.xlsx,bambang lipuro,PKM. BAMBANG LIPURO,-7.9218427,110.3108869,11,5,,46.14285714,73.14285714,50.73,23,33,26.08178571,1009.142857,4.784285714,245.4285714
2021,KAB BANTUL,Laporan-Analisa-SKDR_bambang-lipuro.xlsx,bambang lipuro,PKM. BAMBANG LIPURO,-7.9218427,110.3108869,12,7,0.0189,81,63.28571429,51.23,24.31,30.95,26.73071429,1007.571429,4.392857143,228.7142857
2021,KAB BANTUL,Laporan-Analisa-SKDR_bambang-lipuro.xlsx,bambang lipuro,PKM. BAMBANG LIPURO,-7.9218427,110.3108869,13,4,,77.85714286,67.42857143,85.8,23.93,31.84,26.59392857,1006.428571,3.662857143,195.7142857
2021,KAB BANTUL,Laporan-Analisa-SKDR_bambang-lipuro.xlsx,bambang lipuro,PKM. BAMBANG LIPURO,-7.9218427,110.3108869,14,4,0.0189,70.57142857,65.71428571,114.1,23.99,31.06,26.49392857,1007.571429,3.624285714,199.4285714
2021,KAB BANTUL,Laporan-Analisa-SKDR_bambang-lipuro.xlsx,bambang lipuro,PKM. BAMBANG LIPURO,-7.9218427,110.3108869,15,9,,42,63.85714286,19.95,23.75,31.09,26.55857143,1010.428571,4.177142857,182.5714286
